presence,log10area,dry,water,shade,bird,fish,ponds,land,macro
0,0.602,3,2,0.65,1,2,2,1,0.4
0,2.477,1,3,0.8,2,2,2,4,0.05
0,2.146,1,3,0.9,1,2,2,4,0
1,1.903,1,3,0.2,1,2,4,4,0.4
1,2.31,1,3,0.5,1,3,2,4,0.3
0,1.204,4,3,0.25,1,2,2,4,0.9
0,2.041,2,3,0.35,1,1,2,1,0.2
0,3.13,1,3,0.05,1,3,4,4,0.85
0,1,3,3,0.5,1,1,2,4,0.9
0,1.954,1,3,0.8,1,2,3,4,0.08
0,3.312,1,3,0.6,2,3,2,4,0.25
1,2.114,1,3,0.35,1,2,2,3,0.3
0,1.778,1,3,0.5,1,2,6,4,0.05
0,1.778,2,3,0.9,2,2,0,2,0.1
0,1.778,3,2,0.6,1,4,6,1,0.05
0,2.301,1,2,0.9,1,3,0,3,0
0,2.342,1,2,0.28,1,2,1,4,0.75
0,2.243,1,2,0.5,1,2,3,3,0.05
0,1.699,1,3,0.75,2,3,1,1,0
1,1.602,1,3,0.1,1,2,5,2,0.5
1,2.655,1,3,0.15,2,2,6,2,0.3
0,1.845,1,3,0.4,1,3,7,1,0.05
0,1.477,3,3,1,1,3,5,1,0
1,2.544,1,3,0.1,2,2,0,4,0.75
0,2.398,1,2,0,1,2,6,3,0.05
0,3.204,1,3,0.05,3,3,3,4,0.25
0,1.699,1,3,0.1,1,1,4,1,0.8
1,2.653,1,3,0.2,1,2,4,4,0.4
0,1.602,3,2,0,2,2,4,4,0.25
0,1.176,3,2,0,1,2,2,4,0.2
0,1,3,3,1,1,3,9,4,0
0,3.352,1,3,0,2,4,3,4,0.05
0,3.079,1,3,0,1,4,3,4,0.12
0,2.505,1,3,0.15,2,2,3,4,0.2
0,2.477,1,1,0.05,2,1,0,4,0
0,2.544,1,3,0,2,2,5,4,0.1
0,1.778,1,3,0,2,3,4,4,0.7
0,2.989,1,3,0,1,2,4,4,0.8
0,1.954,1,3,0.25,1,4,5,4,0.65
0,2.653,1,1,0,1,1,4,4,0.05
1,1.699,3,3,0.5,1,3,3,4,0.05
1,2.602,2,2,0.05,2,3,5,3,0.5
1,1.477,3,3,0.5,1,3,3,4,0.1
0,1.699,3,2,0.5,1,1,4,3,0.1
1,3.204,3,2,0.5,2,1,8,3,0.15
1,2.301,3,2,0.4,2,1,6,3,0.7
1,2.845,4,1,0.8,1,1,8,3,0.1
1,2.72,2,2,0.6,1,1,3,3,0.7
0,2.312,4,2,0.9,1,1,5,3,0.1
1,2.021,3,3,0.4,1,1,4,3,0.05
0,1.875,2,2,0.7,1,1,6,3,0.1
0,3.255,2,4,0.3,2,4,2,4,0.35
1,2.301,3,4,0.3,1,1,2,3,0.4
0,1.556,3,2,0.9,1,4,4,3,0.2
0,0.699,4,4,0.8,1,1,6,4,0
1,2.079,1,3,0,2,4,4,3,0.6
0,1.505,4,1,0,1,1,2,1,0
1,2.875,1,2,0,2,3,1,3,0.4
0,2.789,3,2,0,2,4,2,1,0.05
0,1.301,4,1,0,1,1,2,1,0
1,1.778,4,2,0,1,1,1,3,0.1
1,2.301,1,3,0.05,3,3,8,3,0.6
1,1.778,2,3,0.1,1,1,8,4,0.3
0,1.398,3,2,1,3,1,4,3,0.05
1,1.602,3,3,0.5,2,1,2,2,0.6
1,1.699,3,3,0.6,1,1,2,3,0.4
1,2.778,2,1,0.05,2,4,8,2,0.7
1,1.778,2,3,0.3,1,1,2,3,0.3
0,1.857,2,1,0.6,1,1,2,3,0.05
1,1.602,2,3,0.7,1,3,4,2,0.2
1,2.574,3,3,0,1,1,3,3,0.6
1,1.875,3,2,0.05,1,1,6,3,0.05
0,1.699,4,1,1,1,1,3,3,0
1,2.176,3,3,0,1,1,8,3,0.6
1,1.204,2,3,0,1,1,3,3,0.05
0,3.699,1,4,0.9,3,4,4,4,0.1
0,1.301,4,2,1,2,1,2,2,0
0,2.398,3,3,0,3,3,2,3,0.7
1,1.38,2,4,0.6,2,3,2,3,0.3
1,2.079,2,3,0.05,1,1,4,2,0.4
1,1.477,2,3,0.2,1,2,2,1,0.1
0,1.748,3,1,0,1,1,2,1,0
1,2.204,2,3,0,1,1,3,3,0.2
0,1.301,4,1,1,1,1,1,3,0
0,2.398,1,1,0.1,3,4,2,1,0.05
0,1.322,3,2,1,1,1,2,2,0
1,1.982,2,3,0.8,1,1,2,2,0.4
1,2.301,3,4,0.4,2,2,5,3,0.45
1,2.398,2,2,0.3,1,1,2,3,0.8
1,2.146,2,3,0.7,1,1,8,4,0.6
1,2.954,1,1,0.4,2,3,9,2,0.2
1,2.301,2,1,0.4,1,1,7,3,0.4
1,2.158,2,1,0,1,1,5,2,0.7
1,2.176,2,2,0,1,1,7,1,0.1
1,1.778,2,2,0,1,1,7,1,0.3
1,3.477,1,2,0.15,3,4,2,3,0.4
0,2.301,2,2,0.05,2,2,2,3,0.2
1,1.602,2,3,0.15,1,2,2,3,0.2
1,1.778,3,3,0,1,1,1,3,0.4
0,2.079,4,1,1,1,1,1,1,0
0,2.079,4,1,0.05,2,1,1,2,0.05
0,1.477,4,2,0.1,1,1,1,1,0
0,2,1,2,0,2,1,6,3,0
1,1.875,2,3,0.4,2,2,1,3,0.7
1,2.778,2,4,0.1,2,2,6,3,0.6
1,1.959,3,3,0,2,2,3,3,0.7
1,2,3,3,0,2,2,2,3,0.2
1,2,2,3,0,2,3,7,3,0.8
0,2.954,1,4,0.05,3,4,8,4,0.1
1,1.544,2,1,0.8,2,2,1,2,0.2
0,2.31,3,1,0,2,2,2,4,0.4
0,1.38,3,2,0.5,2,3,2,3,0
0,1.982,3,2,0.7,2,3,1,3,0.1
0,2.875,1,1,0.8,3,4,4,3,0.1
0,1.602,3,3,0.7,2,2,1,2,0.05
0,1.699,4,4,1,1,1,2,2,0.1
1,2,2,3,0,1,1,2,2,0.05
0,3.69,1,1,0.15,3,3,2,3,0.1
1,3,1,2,0.2,3,3,3,3,0.05
0,1.477,4,1,1,2,1,1,2,0
1,1.778,2,3,0,2,2,4,3,0.1
1,1.681,3,2,0.9,2,1,3,4,0.05
1,2.292,3,2,0,2,1,3,4,0.05
0,2,4,1,0.5,1,1,3,4,0
0,2,3,3,0.8,1,1,4,3,0
1,1.982,2,3,0.6,1,2,2,3,0.3
0,1.602,3,1,0,1,1,2,2,0
0,2.255,3,1,0.8,2,1,2,3,0.05
0,2.255,3,1,0.8,3,2,2,2,0.15
0,1.556,3,1,0.2,2,2,1,1,0
0,2.301,4,4,0.15,1,1,2,2,0
0,0.699,4,1,0,1,1,3,1,0
0,1.447,3,3,0.05,1,1,1,2,0
1,1.875,3,3,0.2,2,3,2,3,0.4
0,1.806,2,2,0.5,3,1,4,3,0.15
0,1.505,3,4,0,2,3,2,3,0
0,2.954,1,2,0.2,3,3,3,3,0
0,3,1,2,0.5,3,4,2,3,0.1
0,1.875,3,3,0.6,1,2,4,2,0
0,2.322,3,2,0.2,2,4,2,3,0.25
1,1.982,2,2,0.3,2,3,6,2,0.3
1,2.204,2,3,0,1,1,6,3,0.6
0,1.602,2,2,0.3,1,1,2,2,0.2
1,1.699,2,3,0,1,1,6,2,0.05
0,0.778,3,2,0.6,1,1,2,3,0
1,1.204,2,2,0,1,1,6,3,0.05
0,2.079,2,3,0,1,1,3,3,0.1
